4;16;56;2008-02-21;15
5;11;10;2008-02-22;40
6;11;14;2008-02-22;40
7;11;15;2008-02-22;40
8;18;5;2008-02-22;40
9;18;10;2008-02-22;40
10;18;14;2008-02-22;40
11;18;24;2008-02-22;40
12;18;39;2008-02-22;15
13;39;12;2008-02-25;40
14;39;18;2008-02-25;40
15;39;20;2008-02-25;40
16;37;6;2008-02-28;40
17;29;47;2008-02-28;40
18;29;44;2008-02-28;40
19;29;43;2008-02-28;40
20;29;48;2008-02-28;40
21;29;41;2008-02-28;40
22;37;14;2008-02-29;40
23;33;47;2008-02-29;40
24;33;48;2008-02-29;40
25;33;42;2008-02-29;40
26;33;43;2008-02-29;40
27;33;44;2008-02-29;40
28;11;1;2008-03-07;40
30;46;25;2008-03-07;40
31;46;39;2008-03-07;15
32;46;5;2008-03-07;40
33;46;67;2008-03-07;15
34;46;15;2008-03-07;40
35;46;97;2008-03-07;0
36;46;93;2008-03-07;15
37;46;62;2008-03-07;30
38;46;94;2008-03-07;15
39;46;26;2008-03-07;40
40;29;97;2008-03-11;0
41;41;42;2008-03-11;40
42;41;60;2008-03-11;40
43;41;73;2008-03-11;40
44;41;45;2008-03-11;40
45;41;46;2008-03-12;40
46;41;44;2008-03-12;40
47;18;56;2008-03-12;15
48;29;31;2008-03-12;15
49;29;67;2008-03-12;15
50;29;57;2008-03-12;20
51;29;14;2008-03-12;40
52;29;15;2008-03-12;40
53;29;93;2008-03-12;15
54;29;65;2008-03-12;20
55;29;16;2008-03-12;40
56;29;24;2008-03-12;40
57;29;20;2008-03-12;40
58;29;39;2008-03-12;15
59;29;53;2008-03-12;40
60;18;16;2008-03-13;40
61;18;19;2008-03-13;40
62;18;25;2008-03-13;40
63;18;46;2008-03-13;40
64;18;30;2008-03-13;40
65;16;109;2008-03-17;20
66;39;102;2008-03-17;30
68;44;52;2008-03-19;15
69;44;97;2008-03-19;0
70;44;25;2008-03-19;40
71;16;114;2008-03-27;40
72;16;115;2008-03-28;40
73;29;103;2008-03-30;40
74;18;114;2008-04-04;40
75;29;35;2008-04-06;15
76;54;97;2008-04-09;0
77;16;97;2008-04-14;0
78;51;114;2008-04-15;40
79;16;139;2008-04-19;40
80;37;138;2008-04-22;40
81;37;24;2008-04-22;40
82;51;56;2008-04-23;15
83;58;97;2008-04-26;0
84;37;97;2008-04-30;0
85;37;56;2008-04-30;15
86;37;142;2008-04-30;40
87;37;25;2008-04-30;40
88;59;6;2008-05-01;40
89;59;67;2008-05-01;15
90;59;97;2008-05-01;0
91;59;15;2008-05-01;40
92;59;62;2008-05-01;30
93;44;136;2008-05-01;40
94;60;97;2008-05-01;0
95;61;97;2008-05-01;0
96;59;5;2008-05-02;40
97;59;52;2008-05-02;15
98;59;19;2008-05-02;40
99;63;97;2008-05-05;0
100;11;115;2008-05-06;40
101;18;21;2008-05-06;40
102;18;57;2008-05-06;20
103;64;97;2008-05-06;0
104;68;144;2008-05-14;50
105;30;97;2008-05-17;0
106;37;151;2008-05-22;30
107;37;150;2008-05-22;40
108;30;30;2008-05-23;40
109;30;24;2008-05-23;40
